Date,BTC_Price,BTC_Volume,ETH_Price,ETH_Volume,NVDA_Close,NVDA_Volume,AMD_Close,AMD_Volume,INTC_Close,INTC_Volume,GPU_Stock_Index,GPU_Launch_Dates
2021-03-04,48561.16796875,52343816680,1541.914306640625,22906118718,12.3362455368042,573344000.0,77.75,60549400.0,53.051876068115234,40210400.0,337.4542092364105,0
2021-03-05,48927.3046875,48625928883,1533.2750244140625,21067146937,12.427245140075684,542840000.0,78.5199966430664,58548900.0,55.24380111694336,39511700.0,341.24960198909884,0
2021-03-06,48912.3828125,34363564661,1654.7415771484375,22746262366,12.427245140075684,,78.5199966430664,,55.24380111694336,,341.24960198909884,0
2021-03-07,51206.69140625,43137459378,1723.15380859375,23809935410,12.427245140075684,,78.5199966430664,,55.24380111694336,,341.24960198909884,0
2021-03-08,52246.5234375,48597428048,1834.7279052734375,27630991158,11.561382293701172,543112000.0,73.95999908447266,54563900.0,54.43434143066406,33112400.0,320.9084566417805,0
2021-03-09,54824.1171875,50912227385,1868.048828125,23461244507,12.490144729614258,521824000.0,78.52999877929688,45088300.0,56.99916076660156,36387500.0,342.88226446382316,0
2021-03-10,56008.55078125,57295577614,1799.166259765625,25154173185,12.438268661499023,384376000.0,77.5199966430664,45416600.0,56.617164611816406,27160300.0,339.93379245029695,0
2021-03-11,57805.12109375,56772343595,1826.1949462890625,24013132909,12.962255477905273,299916000.0,81.2300033569336,43583700.0,57.58124923706055,30701800.0,354.49661215979467,0
2021-03-12,57332.08984375,55689944702,1772.1024169921875,22435821312,12.825088500976562,243964000.0,81.05000305175781,32938000.0,57.208351135253906,20173000.0,352.30562821643844,0
2021-03-13,61243.0859375,60669829814,1924.6854248046875,25014689475,12.825088500976562,,81.05000305175781,,57.208351135253906,,352.30562821643844,0
2021-03-14,59302.31640625,43901225564,1854.5643310546875,19344589211,12.825088500976562,,81.05000305175781,,57.208351135253906,,352.30562821643844,0
2021-03-15,55907.19921875,66419369890,1791.7022705078125,26244738810,13.159530639648438,221988000.0,82.5,39086800.0,58.01781463623047,21247400.0,359.7463657715182,0
2021-03-16,56804.90234375,59749798599,1806.9718017578125,23828509590,13.259291648864746,272128000.0,82.75,42971600.0,58.9182243347168,30186600.0,361.9034105303264,0
2021-03-17,58870.89453125,60258313191,1823.4493408203125,24512917348,13.309171676635742,243864000.0,82.62999725341797,43320600.0,59.8277473449707,32394700.0,362.688198102942,0
2021-03-18,57858.921875,55746041000,1782.8551025390625,23263845504,12.691908836364746,293896000.0,78.12000274658203,51036500.0,57.9632453918457,30094200.0,344.87681292668606,1
2021-03-19,58346.65234375,49063873786,1817.6241455078125,21249297710,12.814864158630371,299208000.0,79.05999755859375,42283400.0,57.99052810668945,54951700.0,348.343314961336,0
2021-03-20,58313.64453125,50361731222,1812.6346435546875,22677674970,12.814864158630371,,79.05999755859375,,57.99052810668945,,348.343314961336,0
2021-03-21,57523.421875,51943414539,1788.217041015625,22977404620,12.814864158630371,,79.05999755859375,,57.99052810668945,,348.343314961336,0
2021-03-22,54529.14453125,56521454974,1691.333984375,23599296129,13.154541969299316,297804000.0,80.30000305175781,39648600.0,59.691314697265625,34380100.0,355.83994670632325,0
2021-03-23,54738.9453125,56435023914,1678.650146484375,21998237965,13.039321899414062,222048000.0,78.37999725341797,40466600.0,57.735862731933594,35160000.0,349.4314917819844,0
2021-03-24,52774.265625,70567223787,1593.4134521484375,31228051473,12.612597465515137,245840000.0,76.4800033569336,43753600.0,56.42616653442383,74584700.0,339.69496708890256,0
2021-03-25,51704.16015625,67999812841,1595.3592529296875,29650328701,12.505107879638672,295144000.0,76.22000122070312,44735100.0,56.40797805786133,35401400.0,337.86061178638056,0
2021-03-26,55137.3125,56652197978,1702.842041015625,22548516548,12.80837631225586,363968000.0,77.41000366210938,49148700.0,59.00008773803711,34705800.0,345.2597693276411,0
2021-03-27,55973.51171875,47266542233,1716.49462890625,18102277710,12.80837631225586,,77.41000366210938,,59.00008773803711,,345.2597693276411,0
2021-03-28,55950.74609375,47686580918,1691.35595703125,16599472938,12.80837631225586,,77.41000366210938,,59.00008773803711,,345.2597693276411,0
2021-03-29,57750.19921875,57625587027,1819.6849365234375,22796570548,12.917112350463867,273520000.0,77.13999938964844,37144300.0,58.66355895996094,26161600.0,345.80791949013025,0
2021-03-30,58917.69140625,54414116432,1846.03369140625,22512781703,12.840799331665039,200204000.0,76.0,39169300.0,57.9996223449707,20709500.0,342.1547091424809,0
2021-03-31,58918.83203125,65520826225,1918.362060546875,30226902621,13.316152572631836,314776000.0,78.5,43659500.0,58.20880889892578,33013200.0,353.19852882291485,0
2021-04-01,59095.80859375,61669163792,1977.27685546875,30914259795,13.778538703918457,308276000.0,81.08999633789062,40182400.0,58.70905303955078,31416300.0,364.4236160008402,0
2021-04-02,59384.3125,58727860620,2143.2255859375,34862511022,13.778538703918457,,81.08999633789062,,58.70905303955078,,364.4236160008402,0
2021-04-03,57603.890625,59641344484,2028.4224853515625,32011518871,13.778538703918457,,81.08999633789062,,58.70905303955078,,364.4236160008402,0
2021-04-04,58758.5546875,50749662970,2093.122802734375,26006501902,13.778538703918457,,81.08999633789062,,58.70905303955078,,364.4236160008402,0
2021-04-05,59057.87890625,60706272115,2107.88720703125,28889391170,13.953866958618164,255672000.0,81.43000030517578,32610600.0,60.51897048950195,27947500.0,368.11578061028337,0
2021-04-06,58192.359375,66058027988,2118.37890625,29222865881,13.828168869018555,191744000.0,81.44000244140625,29327900.0,59.62764358520508,28771400.0,366.20834570516973,0
2021-04-07,56048.9375,75645303584,1971.0772705078125,36116271935,14.109490394592285,251284000.0,82.19999694824219,35590900.0,60.255210876464844,17793300.0,371.4644078336238,0
2021-04-08,58323.953125,53053855641,2088.57373046875,25312956529,14.282573699951172,244416000.0,83.3499984741211,41925300.0,60.98282241821289,22224200.0,376.3164034843894,0
2021-04-09,58245.00390625,46655208546,2072.10888671875,19812472092,14.365374565124512,195172000.0,82.76000213623047,32759900.0,62.08332824707031,27177100.0,376.58696929510427,0
2021-04-10,59793.234375,58238470525,2135.942138671875,24986243611,14.365374565124512,,82.76000213623047,,62.08332824707031,,376.58696929510427,0
2021-04-11,60204.96484375,46280252580,2157.656982421875,19692836132,14.365374565124512,,82.76000213623047,,62.08332824707031,,376.58696929510427,0
2021-04-12,59893.453125,51828688519,2139.353271484375,21727936609,15.172429084777832,869324000.0,78.58000183105469,62098800.0,59.49122619628906,51266900.0,375.9864639275203,1
